surah_no,ayah_no,text
2,4,"ثم قال: {والذين يؤمنون بما أنزل إليك} وهو: القرآن والسنة، قال تعالى:{وأنزل الله عليك الكتاب والحكمة} فالمتقون يؤمنون بجميع ما جاء به
الرسول ولا يفرقون بين بعض ما أنزل إليه، فيؤمنون ببعضه، ولا يؤمنون ببعضه، إما بجحده، أو تأويله
على غير مراد الله ورسوله، كما يفعل ذلك من يفعله من المبتدعة الذين يؤولون النصوص الدالة على خلاف
قولهم بما حاصله عدم التصديق بمعناها وإن صدقوا بلفظها، فلم يؤمنوا بها إيماناً حقيقيًّا. وقوله:{وما أنزل من قبلك} يشمل الإيمان بجميع
الكتب السابقة، ويتضمن الإيمانُ بالكتب الإيمان بالرسل وبما اشتملت عليه خصوصاً التوراة والإنجيل
والزبور، وهذه خاصية المؤمنين يؤمنون بالكتب السماوية كلها وبجميع الرسل فلا يفرقون بين أحد
منهم.
ثم قال:{وبالآخرة هم يوقنون} والآخرة: اسم لما يكون بعد الموت، وخصه بالذكر بعد
العموم؛ لأن الإيمان باليوم الآخر أحد أركان الإيمان؛ ولأنه أعظم باعث على الرغبة والرهبة
والعمل، واليقين هو: العلم التام، الذي ليس فيه أدنى شك، الموجب للعمل."
2,5,"{أولئك}؛ أي: الموصوفون بتلك الصفات الحميدة {على هدى من ربهم}؛ أي: على هدى عظيم؛ لأن
التنكير للتعظيم، وأيُّ هداية أعظم من تلك الصفات المذكورة المتضمنة للعقيدة الصحيحة والأعمال
المستقيمة؟! وهل الهداية في الحقيقة إلا هدايتهم وما سواها مما خالفها فهي ضلالة؟! وأتى بعلى في هذا
الموضع الدالة على الاستعلاء، وفي الضلالة يأتي بفي كما في قوله:{وإنا أو إياكم لعلى هدى أو في ضلال مبين}؛ لأن صاحب الهدى مستعلٍ
بالهدى مرتفع به، وصاحب الضلال منغمس فيه محتقر.
ثم قال:{وأولئك هم المفلحون} والفلاح هو الفوز بالمطلوب والنجاة من المرهوب، حصر
الفلاح فيهم؛ لأنه لا سبيل إلى الفلاح إلا بسلوك سبيلهم، وما عدا تلك السبيل فهي سبل الشقاء والهلاك
والخسار التي تفضي بسالكها إلى الهلاك؛ فلهذا لما ذكر صفات المؤمنين حقًّا ذكر صفات الكفار المظهرين لكفرهم المعاندين للرسول فقال:"
2,6,"يخبر تعالى {إن الذين كفروا}، أي: اتصفوا بالكفر وانصبغوا به، وصار وصفاً لهم لازماً لا يردعهم عنه رادع،
ولا ينجع فيهم وعظ أنهم مستمرون على كفرهم، فسواء عليهم {أأنذرتهم أم لم تنذرهم لا يؤمنون}.
وحقيقة الكفر هو الجحود لما جاء به الرسول أو جحد بعضه، فهؤلاء الكفار لا تفيدهم الدعوة إلا إقامة
الحجة عليهم، وكأن في هذا قطعاً لطمع الرسول - صلى الله عليه وسلم - في إيمانهم وأنك لا تأس عليهم،
ولا تذهب نفسك عليهم حسرات.
ثم ذكر الموانع المانعة لهم من الإيمان، فقال:"
2,7,"{ختم الله على قلوبهم وعلى سمعهم}؛ أي: طبع
عليها بطابع لا يدخلها الإيمان ولا ينفذ فيها؛ فلا يعون ما ينفعهم ولا يسمعون ما يفيدهم {وعلى أبصارهم غشاوة}؛ أي: غشاءً وغطاءً
وأكنَّة تمنعها عن النظر الذي ينفعهم، وهذه طرق العلم والخير قد سدت عليهم، فلا مطمع فيهم ولا خير
يرجى عندهم، وإنما منعوا ذلك وسدت عنهم أبواب الإيمان بسبب كفرهم وجحودهم ومعاندتهم بعد ما تبين لهم
الحق، كما قال تعالى:{ونقلب أفئدتهم وأبصارهم كما لم يؤمنوا به أول مرة}
وهذا عقاب عاجل، ثم ذكر العقاب الآجل فقال:{ولهم عذابٌ عظيم}
وهو عذاب النار، وسخط الجبار المستمر الدائم.
ثم قال تعالى في وصف المنافقين الذين ظاهرهم الإسلام وباطنهم الكفر:"
2,8,2:10
2,9,2:10
2,10,"وقوله: {في قلوبهم مرض}؛ المراد بالمرض هنا: مرض الشك، والشبهات، والنفاق، وذلك أن القلب يعرض له مرضان يخرجانه عن صحته واعتداله:
مرض الشبهات الباطلة، ومرض الشهوات المُرْدِيَة. فالكفر والنفاق والشكوك والبِدَع كلها من مرض
الشبهات، والزِنا ومحبة الفواحش والمعاصي وفعلها من مرض الشهوات؛ كما قال تعالى:{فيطمع الذي في قلبه مرض}؛ وهو
شهوة الزنا، والمعافى من عوفي من هذين المرضين، فحصل له اليقين والإيمان والصبر عن كل معصية، فرفل
في أثواب العافية.
وفي قوله عن المنافقين:{في قلوبهم مرض فزادهم الله مرضاً}؛ بيان لحكمته تعالى في تقدير
المعاصي، على العاصين وأنه بسبب ذنوبهم السابقة؛ يبتليهم بالمعاصي اللاحقة الموجبة لعقوباتها، كما قال تعالى:{ونقلب أفئدتهم وأبصارهم كما لم يؤمنوا به أول مرة}، وقال تعالى:{فلما زاغوا أزاغ الله قلوبهم}، وقال تعالى:{وأما الذين في قلوبهم مرضٌ فزادتهم رجساً إلى رجسهم} فعقوبة المعصية
المعصية بعدها، كما أن من ثواب الحسنة الحسنة بعدها؛ قال تعالى:{ويزيد الله الذين اهتدوا هدى}."
2,11,"أي: إذا نُهِيَ هؤلاء المنافقون عن الإفساد في الأرض، وهو العمل
بالكفر والمعاصي، ومنه إظهار سرائر المؤمنين لعدوهم وموالاتهم للكافرين:{قالوا إنما نحن مصلحون}؛ فجمعوا بين العمل بالفساد في الأرض وإظهار
أنه ليس بإفساد، بل هو إصلاح قلباً للحقائق، وجمعاً بين فعل الباطل واعتقاده حقًّا، وهؤلاء أعظم
جناية ممن يعمل بالمعاصي مع اعتقاد تحريمها ، فهذا أقرب للسلامة وأرجى لرجوعه، ولما كان في قولهم:{إنما نحن مصلحون}؛ حصر للإصلاح في جانبهم ـ وفي ضمنه أن المؤمنين ليسوا من أهل الإصلاح ـ قلب الله عليهم دعواهم بقوله:"
2,12,"{ألا إنهم هم المفسدون} فإنه لا
أعظم إفساداً ممن كفر بآيات الله، وصد عن سبيل الله، وخادع الله وأولياءه، ووالى المحاربين لله
ورسوله، وزعم مع هذا أن هذا إصلاح، فهل بعد هذا الفساد فساد؟! ولكن لا يعلمون علماً ينفعهم وإن
كانوا قد علموا بذلك علماً تقوم به عليهم حجة الله، وإنما كان العمل [بالمعاصي] في الأرض إفساداً؛ لأنه سبب لفساد ما على وجه الأرض من الحبوب
والثمار والأشجار والنبات لما يحصل فيها من الآفات التي سببها المعاصي، ولأن الإصلاح في الأرض أن
تُعمَر بطاعة الله والإيمان به، لهذا خلق الله الخلق وأسكنهم [في] الأرض
وأدرَّ عليهم الأرزاق؛ ليستعينوا بها على طاعته وعبادته، فإذا عُمِل فيها بضده كان سعياً فيها
بالفساد وإخراباً لها عمَّا خُلِقت له."
2,13,"أي: إذا قيل للمنافقين آمنوا كما آمن الناس، أي:
كإيمان الصحابة رضي الله عنهم وهو: الإيمان بالقلب واللسان، قالوا بزعمهم الباطل: أنؤمن كما آمن السفهاء؟ يعنون ـ قبحهم الله ـ الصحابة
رضي الله عنهم؛ لزعمهم أن سفههم أوجب لهم الإيمان، وترك الأوطان، ومعاداة الكفار، والعقل عندهم
يقتضي ضد ذلك، فنسبوهم إلى السَفَه، وفي ضمن ذلك أنهم هم العقلاء أرباب الحجى والنُهى؛ فرد الله ذلك
عليهم وأخبر أنهم هم السفهاء على الحقيقة؛ لأن حقيقة السفه جهل الإنسان بمصالح نفسه، وسعيه فيما
يضرها، وهذه الصفة منطبقة عليهم، [وصادقة عليهم] كما أن العقل والحجى معرفة
الإنسان بمصالح نفسه والسعي فيما ينفعه وفي دفع ما يضره، وهذه الصفة منطبقة على الصحابة والمؤمنين؛
فالعبرة بالأوصاف والبرهان، لا بالدعاوي المجردة والأقوال الفارغة."
2,14,"هذا من قولهم بألسنتهم ما ليس في قلوبهم، وذلك أنهم إذا اجتمعوا
بالمؤمنين أظهروا أنهم على طريقتهم، وأنهم معهم، فإذا خلوا إلى شياطينهم ـ أي كبرائهم ورؤسائهم بالشر ـ قالوا:
إنا معكم في الحقيقة وإنما نحن مستهزئون بالمؤمنين بإظهارنا لهم أننا على طريقتهم، فهذه حالهم
الباطنة والظاهرة، ولا يحيق المكر السيئ إلا بأهله."
2,15,"قال تعالى: {الله يستهزئُ بهم ويمدهم في طغيانهم يعمهون}؛
وهذا جزاء لهم على استهزائهم بعباده، فمن استهزائه بهم أن زين لهم ما كانوا فيه من الشقاء، والأحوال
الخبيثة حتى ظنوا أنهم مع المؤمنين لَمَّا لم يسلطْ الله المؤمنين عليهم، ومن استهزائه بهم يوم القيامة:
أنه يعطيهم مع المؤمنين نوراً ظاهراً، فإذا مشى المؤمنون بنورهم طفئ نور المنافقين وبقُوا في الظلمة
بعد النور متحيرين، فما أعظم اليأس بعد الطمع {ينادونهم ألم نكن معكم، قالوا بلى ولكنكم فتنتم أنفسكم وتربصتم وارتبتم ... }
الآية.
قوله:{ويمدهم}؛ أي: يزيدهم {في طغيانهم}؛ أي: فجورهم وكفرهم {يعمهون}؛ أي:
حائرون مترددون، وهذا من استهزائه تعالى بهم.
ثم قال تعالى كاشفاً عن حقيقة أحوالهم:"
2,16,"أولئك؛ أي: المنافقون الموصوفون بتلك
الصفات {الذين اشتروا الضلالة بالهدى}؛ أي:
رغبوا في الضلالة رغبة المشتري في السلعة ، التي ـ من رغبته فيها ـ يبذل فيها الأموال النفيسة، وهذا
من أحسن الأمثلة، فإنه جعل الضلالة التي هي غاية الشر كالسلعة، وجعل الهدى الذي هو غاية الصلاح
بمنزلة الثمن، فبذلوا الهدى رغبة عنه في الضلالة رغبة فيها، فهذه تجارتهم؛ فبئس التجارة، وهذه
صفقتهم؛ فبئست الصفقة.
وإذا كان من يبذل ديناراً في مقابلة درهم خاسراً فكيف من بذل جوهرة وأخذ عنها درهماً، فكيف من بذل
الهدى في مقابلة الضلالة، واختار الشقاء على السعادة، ورغب في سافل الأمور وترك عاليها ، فما ربحت
تجارته بل خسر فيها أعظم خسارة، أولئك الذين خسروا أنفسهم وأهليهم يوم القيامة ألا ذلك هو الخسران
المبين. وقوله:{وما كانوا مهتدين}؛ تحقيق
لضلالهم وأنهم لم يحصل لهم من الهداية شيء، فهذه أوصافهم القبيحة، ثم ذكر مثلهم [الكاشف لها غاية الكشف]، فقال:"
2,17,"أي: مثلهم المطابق لما كانوا عليه كمثل الذي استوقد ناراً أي:
كان في ظلمة عظيمة، وحاجة إلى النار شديدة فاستوقدها من غيره، ولم تكن عنده معدة بل هي خارجة عنه،
فلما أضاءت النار ما حوله، ونظر المحل الذي هو فيه وما فيه من المخاوف، وأمنها وانتفع بتلك النار،
وقرت بها عينه، وظن أنه قادر عليها، فبينما هو كذلك، إذ ذهب الله بنوره؛ فزال عنه النور وذهب معه
السرور، وبقي في الظلمة العظيمة والنار المحرقة؛ فذهب ما فيها من الإشراق وبقي ما فيها من
الإحراق، فبقي في ظلمات متعددة: ظلمة الليل، وظلمة السحاب، وظلمة المطر،
والظلمة الحاصلة بعد النور، فكيف يكون حال هذا الموصوف؟ فكذلك هؤلاء المنافقون استوقدوا نار الإيمان
من المؤمنين ولم تكن صفة لهم، فاستضاؤوا بها مؤقتاً وانتفعوا؛ فحقنت بذلك دماؤهم، وسلمت أموالهم،
وحصل لهم نوع من الأمن في الدنيا، فبينما هم كذلك إذ هجم عليهم الموت؛ فسلبهم الانتفاع بذلك النور،
وحصل لهم كل هم وغم وعذاب، وحصل لهم ظلمة القبر، وظلمة الكفر، وظلمة النفاق، وظلمة المعاصي على
اختلاف أنواعها، وبعد ذلك ظلمة النار وبئس القرار؛ فلهذا قال تعالى عنهم:"
2,18,"{صمٌّ}؛ أي: عن سماع الخير {بكمٌ}، أي:
عن النطق به {عميٌ} عن رؤية الحق {فهم لا يرجعون}؛
لأنهم تركوا الحق بعد أن عرفوه؛ فلا يرجعون إليه، بخلاف من ترك الحق عن جهل وضلال؛ فإنه لا يعقل،
وهو أقرب رجوعاً منهم."
2,19,"ثم قال تعالى: {أو كصيب من السماء}؛ أي: كصاحب صيب وهو: المطر الذي يصوب؛ أي: ينزل
بكثرة {فيه ظلمات}؛ ظلمة الليل، وظلمة السحاب، وظلمة المطر، وفيه
{رعد}؛ وهو: الصوت الذي يسمع من السحاب وفيه
{برق}؛ وهو الضوء اللامع المشاهد من السحاب."
2,20,"{كلما أضاء لهم}؛ البرق في تلك
الظلمات {مشوا فيه وإذا أظلم عليهم قاموا}؛ أي: وقفوا، فهكذا حالة المنافقين إذا سمعوا القرآن، وأوامره ونواهيه، ووعده
ووعيده؛ جعلوا أصابعهم في آذانهم، وأعرضوا عن أمره ونهيه، ووعده ووعيده؛ فيروعهم وعيده، وتزعجهم
وعوده، فهم يعرضون عنها غاية ما يمكنهم ويكرهونها كراهة صاحب الصيب الذي يسمع الرعد فيجعل أصابعه في
أذنيه خشية الموت، فهذا ربما حصلت له السلامة ، وأما المنافقون فأنى لهم السلامة وهو تعالى محيط بهم
قدرة وعلماً فلا يفوتونه ولا يعجزونه، بل يحفظ عليهم أعمالهم ويجازيهم عليها أتم الجزاء.
ولما كانوا مبتلين بالصمم والبكم والعمى المعنوي ومسدودة عليهم طُرُقُ الإيمان قال تعالى:{ولو شاء الله لذهب بسمعهم وأبصارهم}؛
أي الحسية، ففيه تخويف لهم وتحذير من العقوبة الدنيوية؛ ليحذروا فيرتدعوا عن بعض شرهم ونفاقهم {إن الله على كل شيء قدير}؛ فلا يعجزه شيء، ومن قدرته أنه إذا شاء شيئاً
فعله من غير ممانع ولا معارض.
وفي هذه الآية وما أشبهها ردٌّ على القدرية القائلين بأن أفعالَهم غير داخلة في قدرة الله
تعالى؛ لأن أفعالهم من جملة الأشياء الداخلة في قوله:{إن الله على كل شيء قدير}."
2,21,"هذا أمر عام لجميع الناس بأمر عام وهو العبادة الجامعة لامتثال
أوامر الله واجتناب نواهيه وتصديق خبره، فأمرهم تعالى بما خلقهم له، قال تعالى:{وما خلقت الجن والإنس إلا ليعبدون}؛ ثم استدل على وجوب عبادته وحده
بأنه ربكم الذي رباكم بأصناف النعم، فخلقكم بعد العدم، وخلق الذين من قبلكم."
2,22,"وأنعم عليكم بالنعم الظاهرة والباطنة، فجعل لكم الأرض فراشاً
تستقرون عليها، وتنتفعون بالأبنية والزراعة والحراثة والسلوك من محل إلى محل، وغير ذلك من وجوه
الانتفاع بها، وجعل السماء بناء لمسكنكم وأودع فيها من المنافع ما هو من ضروراتكم وحاجاتكم كالشمس
والقمر والنجوم {وأنزل من السماء ماء}؛ والسماء هو: كل ما علا فوقك فهو سماء، ولهذا قال المفسرون: المراد بالسماء ههنا السحاب، فأنزل منه تعالى ماء {فأخرج به من الثمرات}؛ كالحبوب والثمار من نخيل وفواكه وزروع وغيرها
{رزقاً لكم}؛ به ترتزقون وتتقوتون وتعيشون وتفكهون ، {فلا تجعلوا لله أنداداً}؛ أي: أشباهاً ونظراء
من المخلوقين؛ فتعبدونهم كما تعبدون الله، وتحبونهم كما تحبونه ، وهم مِثْلكم مخلوقون مرزوقون
مُدبَّرون، لا يملكون مثقال ذرة في الأرض، ولا في السماء ، ولا ينفعونكم ولا يضرون {وأنتم تعلمون}؛ أن الله ليس له شريك، ولا نظير لا في الخلق والرزق
والتدبير، ولا في الألوهية والكمال ، فكيف تعبدون معه آلهة أخرى مع علمكم بذلك؟ هذا من أعجب العجب
وأسفه السفه.
وهذه الآية جمعت بين الأمر بعبادة الله وحده، والنهي عن عبادة ما سواه، وبيان الدليل الباهر على
وجوب عبادته وبطلان عبادة ما سواه، وهو ذكر توحيد الربوبية المتضمن انفراده بالخلق والرزق والتدبير،
فإذا كان كل أحد مقرًّا بأنه ليس له شريك بذلك فكذلك؛ فليكن الإقرار بأن الله ليس له شريك في عبادته
، وهذا أوضح دليل عقلي على وحدانية الباري تعالى وبطلان الشرك.
وقوله:{لعلكم تتقون}؛ يحتمل أن المعنى أنكم إذا عبدتم الله وحده اتقيتم بذلك سخطه
وعذابه؛ لأنكم أتيتم بالسبب الدافع لذلك، ويحتمل أن يكون المعنى أنكم إذا عبدتم الله صرتم من
المتقين الموصوفين بالتقوى، وكلا المعنيين صحيح، وهما متلازمان، فمن أتى بالعبادة كاملة؛ كان من
المتقين، ومن كان من المتقين؛ حصلت له النجاة من عذاب الله، وسخطه."
