surah_no,ayah_no,text
16,110,"أي: ثم {إنَّ ربَّك}: الذي ربَّى عباده المخلصين بلطفه وإحسانه {لغفور رحيمٌ} لمن هاجر في سبيله، وخلَّى دياره وأمواله طالباً لمرضاةِ الله، وفُتِنَ على دينه ليرجعَ إلى الكفر، فثبت على الإيمان، وتخلَّص ما معه من اليقين، ثم جاهد أعداء الله لِيُدْخِلَهم في دين الله بلسانِهِ ويدِهِ، وصَبَرَ على هذه العبادات الشاقَّة على أكثر الناس؛ فهذه أكبرُ الأسباب التي تُنال بها أعظم العطايا وأفضل المواهب، وهي مغفرة الله للذنوب صغارها وكبارها، المتضمِّن ذلك زوال كلِّ أمرٍ مكروه، ورحمته العظيمة التي بها صلحت أحوالهم واستقامت أمور دينهم ودنياهم؛ فلهم الرحمة من الله في يوم القيامة."
16,111,"حين {تأتي كلُّ نفس تجادِلُ عن نفسها}: كلٌّ يقول: نفسي نفسي، لا يهمُه سوى نفسه؛ ففي ذلك اليوم يفتقر العبدُ إلى حصول مثقال ذرَّة من الخير. {وتُوفَّى كلُّ نفس ما عملت}: من خيرٍ وشرٍّ. {وهم لا يُظۡلَمونَ}: فلا يزادُ في سيئاتهم، ولا يُنْقَصُ من حسناتهم. {فاليوم لا تُظۡلَمُ نفسٌ شيئاً ولا تُجۡزَوۡن إلاَّ ما كنتُم تعملونَ}."
16,112,"{112 ـ 113} وهذه القرية هي مكَّة المشرَّفة التي كانت آمنةً مطمئنةً لا يُهاج فيها أحدٌ، وتحترِمها الجاهليَّةُ الجَهْلاءُ، حتى إنَّ أحدهم يجد قاتلَ أبيه وأخيه فلا يَهيجُهُ مع شدَّة الحميَّة فيهم والنعرة العربيَّة، فحصل لها من الأمن التامِّ ما لم يحصلْ لسواها، وكذلك الرزق الواسع، كانت بلدة ليس فيها زرعٌ ولا شجرٌ، ولكنْ يسَّرَ الله لها الرزقَ يأتيها من كلِّ مكان، فجاءهم رسولٌ منهم يعرِفون أمانته وصدقَه؛ يدعُوهم إلى أكمل الأمور، وينهاهم عن الأمور السيِّئة، فكذَّبوه وكفروا بنعمة الله عليهم، فأذاقهم الله ضدَّ ما كانوا فيه، وألبسهم {لباس الجوع} الذي هو ضدُّ الرَّغَدِ، {والخوفِ} الذي هو ضدُّ الأمن، وذلك بسبب صنيعهم وكفرِهم وعدم شُكْرِهم، وما ظَلَمَهُمُ الله ولكنْ كانوا أنفسَهم يظلمِونَ."
16,113,16:112
16,114,"يأمر عباده بأكل ما رزقهم الله من الحيوانات والحبوب والثمار وغيرها. {حلالاً طيِّباً}؛ أي: حالة كونها متَّصفة بهذين الوصفين؛ بحيث لا تكون مما حرَّم الله أو أثراً من غَصْبٍ ونحوه؛ فتمتَّعوا بما خَلَقَ الله لكم من غير إسرافٍ ولا تَعَدٍّ. {واشكُروا نعمةَ الله}: بالاعتراف بها بالقلب، والثناء على الله بها، وصرفها في طاعة الله. {إن كنتُم إيَّاه تعبُدون}؛ أي: إن كنتُم مخلصين له العبادةَ؛ فلا تشكُروا إلاَّ إيَّاه، ولا تنسَوا المنعم."
16,115,"{إنَّما حرَّم عليكم}: الأشياء المضرَّة تنزيهاً لكم، وذلك: كالميتة، ويدخُلُ في ذلك كلُّ ما كان موته على غير ذكاةٍ مشروعة، ويُستثنى منه ميتة الجرادِ والسمكِ. {والدَّمَ}: المسفوح، وأما ما يبقى في العروق واللحم؛ فلا يضرُّ. {ولحم الخنزير}: لقذارتِهِ وخبثِهِ، وذلك شامل للحمه وشحمه وجميع أجزائه. {وما أُهِلَّ لغير الله به}: كالذي يذبح للأصنام والقبور ونحوها؛ لأنه مقصودٌ به الشرك. {فمن اضۡطُرَّ}: إلى شيء من المحرَّمات؛ بأن حملته الضرورةُ وخاف إن لم يأكُلْ أن يَهْلِكَ؛ فلا جناحَ عليه إذا لم يكن باغياً أو عادياً؛ أي: إذا لم يُرِدْ أكل المحرَّم، وهو غير مضطرٍّ ولا متعدٍّ الحلال إلى الحرام أو متجاوزٍ لما زادَ على قَدْرِ الضرورة؛ فهذا الذي حرَّمه الله من المباحات."
16,116,"{ولا تقولوا لما تَصِفُ ألسنتُكم الكَذِبَ هذا حلالٌ وهذا حرامٌ}؛ أي: لا تحرِّموا وتحلِّلوا من تلقاء أنفسكم كذباً وافتراءً على الله وتقوُّلاً عليه؛ {لتَفۡتَروا على الله الكذِبَ إنَّ الذين يفترونَ على الله الكَذِبَ لا يفلِحونَ}: لا في الدُّنيا ولا في الآخرة، ولا بدَّ أن يُظْهِرَ الله خِزْيَهم."
16,117,"وإن تمتَّعوا في الدُّنيا؛ فإنَّه {متاعٌ قليلٌ}: ومصيرهم إلى النار، {ولهم عذابٌ أليمٌ}."
16,118,"فالله تعالى ما حرَّم علينا إلاَّ الخبيثات تفضُّلاً منه وصيانةً عن كلِّ مستقذرٍ، وأما الذين هادوا؛ فحرَّم الله عليهم طيباتٍ أُحِلَّت لهم بسبب ظُلْمِهم عقوبةً لهم؛ كما قَصَّه في سورة الأنعام في قوله:{وعلى الذين هادوا حَرَّمۡنا كلَّ ذي ظُفُرٍ ومن البقر والغنم حرَّمۡنا عليهم شحومَهُما إلاَّ ما حَمَلَتۡ ظهورُهما أوِ الحوايا أو ما اختلَطَ بعظمٍ ذلك جزيناهم ببغيهم وإنَّا لصادقونَ}."
16,119,"وهذا حضٌّ منه لعبادِهِ على التوبة ودعوةٌ لهم إلى الإنابة، فأخبر أنَّ من عمل سوءاً {بجهالةٍ}: بعاقبةٍ ما تَجْني عليه، ولو كان متعمِّداً للذنب؛ فإنَّه لا بدَّ أن ينقص ما في قلبه من العلم وقتَ مقارفة الذنب؛ فإذا تاب وأصلح بأنْ تَرَكَ الذنب وندم عليه وأصلح أعمالَه؛ فإنَّ الله يغفر له ويرحمُه ويتقبَّل توبتَه ويعيدُه إلى حالته الأولى أو أعلى منها."
16,120,"يخبر تعالى عمَّا فَضَّلَ به خليلَه إبراهيم عليه الصلاة والسلام وخصَّه به من الفضائل العالية والمناقب الكاملة، فقال:{إنَّ إبراهيم كان أمَّةً}؛ أي: إماماً جامعاً لخصال الخير هادياً مهتدياً، {قانتاً لله}؛ أي: مديماً لطاعة ربِّه مخلصاً له الدين، {حنيفاً}: مقبلاً على الله بالمحبَّة والإنابة والعبوديَّة، معرضاً عمَّن سواه. {ولم يَكُ من المشركين}: في قولِهِ وعمله وجميع أحواله؛ لأنَّه إمام الموحدين الحنفاء."
16,121,"{شاكراً لأنعمِهِ}؛ أي: آتاه الله في الدُّنيا حسنةً، وأنعم عليه بنعمٍ ظاهرةٍ وباطنةٍ، فقام بشكرها، فكان نتيجةُ هذه الخصال الفاضلة أنِ {اجتباه} ربُّه واختصَّه بخلَّته وجعله من صفوة خلقِهِ وخيار عباده المقرَّبين. {وهداه إلى صراطٍ مستقيم}: في علمه وعمله، فعلم بالحقِّ وآثره على غيره."
16,122,"{وآتيناه في الدُّنيا حسنةً}: رزقاً واسعاً، وزوجةً حسناء، وذرِّيَّة صالحين، وأخلاقاً مرضية. {وإِنَّه في الآخرة لمنَ الصَّالحين}: الذين لهم المنازل العاليةُ والقُرْبُ العظيم من الله تعالى."
16,123,"ومن أعظم فضائله أنَّ الله أوحى لسيِّد الخلق وأكملِهِم أن يتَّبع ملَّة إبراهيم ويقتدي به هو وأمَّته."
16,124,"يقول تعالى: {إنَّما جُعِلَ السَّبۡتُ}؛ أي: فرضاً {على الذين اختلفوا فيه}: حين ضلُّوا عن يوم الجمعة، وهم اليهود، فصار اختلافهم سبباً لأن يجب عليهم في السبتِ احترامه وتعظيمه، وإلاَّ؛ فالفضيلةُ الحقيقيَّة ليوم الجمعة، الذي هدى الله هذه الأمة إليه. {وإنَّ ربَّك لَيحكُمُ بينهم يوم القيامة فيما كانوا فيه يختلفون}: فيبيِّن لهم المحقَّ من المبطِل والمستحقَّ للثواب ممن استحقَّ العذاب."
16,125,"أي: ليكن دعاؤك للخلق مسلمهم وكافرهم إلى سبيل ربِّك المستقيم المشتمل على العلم النافع والعمل الصالح، {بالحكمة}؛ أي: كل أحدٍ على حسب حاله وفَهْمه وقَبوله وانقياده، ومن الحكمة الدعوةُ بالعلم لا بالجهل، والبدأة بالأهمِّ فالأهمِّ، وبالأقربِ إلى الأذهان والفهم، وبما يكون قَبوله أتمَّ، وبالرفق واللين؛ فإنِ انقاد بالحكمة، وإلاَّ؛ فينتقل معه بالدعوة بالموعظة الحسنة، وهو الأمر والنهي المقرون بالترغيب والترهيب: إما بما تشتمل عليه الأوامر من المصالح وتعدادها والنواهي من المضار وتعدادها، وإما بذكر إكرام من قامَ بدين الله وإهانةِ من لم يقُم به، وإما بذكر ما أعدَّ الله للطائعين من الثواب العاجل والآجل وما أعدَّ للعاصين من العقاب العاجل والآجل؛ فإن كان المدعوُّ يرى أن ما [هو] عليه حقٌّ، أو كان داعيةً إلى الباطل؛ فيجادَلُ بالتي هي أحسن، وهي الطُّرق التي تكون أدعى لاستجابته عقلاً ونقلاً، ومن ذلك الاحتجاج عليه بالأدلَّة التي كان يعتقدها؛ فإنَّه أقرب إلى حصول المقصود وأن لا تؤدِّي المجادلة إلى خصام أو مشاتمةٍ تذهب بمقصودها ولا تحصُل الفائدة منها، بل يكون القصدُ منها هداية الخلق إلى الحقِّ لا المغالبة ونحوها. وقوله:{إنَّ ربَّك هو أعلم بمن ضلَّ عن سبيله}؛ علم السبب الذي أدَّاه إلى الضلال، وعلم أعماله المترتِّبة على ضلالته، وسيجازيه عليها. {وهو أعلم بالمهتدين}: علم أنَّهم يَصْلُحون للهداية فهداهم، ثم منَّ عليهم فاجتباهم."
16,126,"يقول تعالى مبيحاً للعدل ونادباً للفضل والإحسان: {وإنۡ عاقَبۡتُم}: مَنْ أساء إليكم بالقول والفعل، {فعاقِبوا بمثل ما عُوقِبۡتُم به}: من غير زيادةٍ منكم على ما أجراه معكم. {ولَئِن صبرتُم}: عن المعاقبة وعفوتُم عن جرمهم، {لهو خيرٌ للصَّابرينَ}: من الاستيفاء، وما عند الله خيرٌ لكم وأحسن عاقبةً؛ كما قال تعالى:{فمن عفا وأصۡلَحَ فأجۡرُهُ على الله}.
{127 ـ 128} ثم أمر رسوله بالصبر على دعوةِ الخلق إلى الله والاستعانة بالله على ذلك وعدم الاتِّكال على النفس، فقال:{واصۡبِرۡ وما صَبۡرُكَ إلاَّ بالله}: هو الذي يُعينك عليه ويُثَبِّتُك. {ولا تَحۡزَنۡ عليهم}: إذا دعوتَهم فلم تَرَ منهم قَبولاً لدعوتِكَ؛ فإنَّ الحزن لا يُجْدي عليك شيئاً. {ولا تَكُ في ضَيۡقٍ}؛ أي: شدَّة وحَرَج {مما يمكُرون}: فإنَّ مكرهم عائدٌ إليهم، وأنت من المتَّقين المحسنين، والله مع المتقين المحسنين بعونه وتوفيقه وتسديده، وهم الذين اتَّقوا الكفر والمعاصي، وأحسنوا في عبادة الله؛ بأن عبدوا الله كأنَّهم يرونَه؛ فإنْ لَم يكُونوا يَرَوْنه فإنَّه يراهم، والإحسان إلى الخلق ببذل النفع لهم من كل وجه. نسأل الله أن يَجْعَلَنا من المتقين المحسنين.
تم تفسير سورة النحل. ولله الحمد والمنة.
* * *"
16,127,16:126
16,128,16:126
17,1,"ينزِّه تعالى نفسه المقدَّسة ويعظِّمها لأنَّ له الأفعال العظيمة والمنن الجسيمة التي من جملتها أنه {أسرى بعبدِهِ}: ورسوله محمد - صلى الله عليه وسلم -، {من المسجد الحرام}: الذي هو أجلُّ المساجد على الإطلاق، {إلى المسجد الأقصى}: الذي هو من المساجد الفاضلة، وهو محلُّ الأنبياء، فأسرى به في ليلة واحدةٍ إلى مسافة بعيدةٍ جدًّا، ورجع في ليلته، وأراه الله من آياته ما ازداد به هدىً وبصيرةً وثباتاً وفرقاناً، وهذا من اعتنائه تعالى به ولطفه؛ حيث يسَّره لليسرى في جميع أموره، وخوَّله نعماً فاق بها الأوَّلين والآخرين. وظاهر الآية أنَّ الإسراء كان في أول الليل، وأنَّه من نفس المسجد الحرام، لكن ثبت في الصحيح أنه أُسْرِيَ به من بيت أم هانئ ؛ فعلى هذا تكون الفضيلة في المسجد الحرام لسائر الحرم؛ فكلُّه تضاعف فيه العبادة كتضاعفها في نفس المسجد، وأنَّ الإسراء بروحه وجسده معاً، وإلاَّ لم يكن في ذلك آيةٌ كبرى ومنقبةٌ عظيمة.
وقد تكاثرت الأحاديث الثابتة عن النبي - صلى الله عليه وسلم - في الإسراء وذكر تفاصيل ما رأى، وأنه أُسْرِيَ به إلى بيت المقدس، ثم عُرِج به من هناك إلى السماوات حتى وصل إلى ما فوق السماوات العُلى، ورأى الجنة والنار، والأنبياء على مراتبهم، وفُرِضَ عليه الصلواتُ خمسين، ثم ما زال يراجِعُ ربَّه بإشارة موسى الكليم حتى صارت خمساً في الفعل وخمسين في الأجر والثواب، وحاز من المفاخر تلك الليلة هو وأمتُه ما لا يعلم مقدارَه إلاَّ الله عز وجل. وذَكَرَهُ هنا وفي مقام الإنزال للقرآن ومقام التحدِّي بصفة العبوديَّة؛ لأنَّه نال هذه المقامات الكبار بتكميله لعبوديَّة ربه.
وقوله:{الذي بارَكۡنا حوله}؛ أي: بكثرة الأشجار والأنهار والخصب الدائم، ومن بركته تفضيله على غيره من المساجد سوى المسجد الحرام ومسجد المدينة، وأنه يُطْلَبُ شدُّ الرحل إليه للعبادة والصلاة فيه، وأنَّ الله اختصَّه محلاًّ لكثيرٍ من أنبيائه وأصفيائه."
17,2,"كثيراً ما يَقْرِنُ الباري بين نبوَّة محمد - صلى الله عليه وسلم - ونبوَّة موسى - صلى الله عليه وسلم - وبين كتابيهما وشريعتيهما؛ لأنَّ كتابيهما أفضل الكتب، وشريعتيهما أكمل الشرائع، ونبوَّتيهما أعلى النبوَّات، وأتباعهما أكثر المؤمنين، ولهذا قال هنا:{وآتينا موسى الكتابَ}: الذي هو التوراة، {وجَعَلۡناه هدىً لبني إسرائيل}: يهتدونَ به في ظُلُمات الجهل إلى العلم بالحقِّ. {ألاَّ تتَّخذوا مِن دوني وكيلاً}؛ أي: وقلنا لهم ذلك، وأنزلنا إليهم الكتاب لذلك؛ ليعبدوا الله وحده، ويُنيبوا إليه، ويتَّخذوه وحدَه وكيلاً ومدبراً لهم في أمر دينهم ودُنياهم، ولا يتعلَّقوا بغيره من المخلوقين الذين لا يملكون شيئاً ولا ينفعونَهم بشيءٍ."
17,3,"{ذُرِّيَّةَ مَنۡ حَمَلۡنا مع نوح}؛ أي: يا ذُرِّيَّة مَنْ مَنَنَّا عليهم وحملناهم مع نوح. {إنَّه كان عبداً شكوراً}: ففيه التنويه بالثناء على نوح عليه السلام بقيامه بشكر الله واتِّصافه بذلك، والحثِّ لذُرِّيَّتِهِ أن يقتدوا به في شكره ويتابعوه عليه، وأن يتذكَّروا نعمةَ الله عليهم إذْ أبقاهم، واستخلفهم في الأرض، وأغرق غيرهم."
17,4,"{وقَضَيۡنا إلى بني إسرائيل}؛ أي: تقدَّمنا وعَهِدْنا إليهم وأخبرناهم في كتابهم أنهم لا بدَّ أن يقعَ: منهم إفسادٌ في الأرض مرتين بعمل المعاصي والبَطَر لنعم الله والعلوِّ في الأرض والتكبُّر فيها، وأنَّه إذا وقع واحدةٌ منهما؛ سلَّطَ الله عليهم الأعداء وانتقم منهم، وهذا تحذيرٌ لهم وإنذارٌ لعلَّهم يرجعون فيتذكَّرون."
17,5,"{فإذا جاء وَعۡدُ أولاهما}؛ أي: أولى المرتين اللتين يفسدون فيهما؛ أي: إذا وقع منهم ذلك الفسادُ، {بَعَثۡنا عليكم}: بعثاً قدريًّا وسلَّطنا عليكم تسليطاً كونيًّا جزائيًّا، {عباداً لنا أولي بأسٍ شديدٍ}؛ أي: ذوي شجاعة وعددٍ وعُدَّةٍ، فنصرهم اللهُ عليكم، فقتلوكم وسَبَوْا أولادكم ونهبوا أموالكم، وجاسوا {خلالَ الدِّيار}: فهتكوا الدُّور، ودخلوا المسجد الحرام، وأفسدوه. {وكان وعداً مفعولاً}: لا بدَّ من وقوعه لوجود سببه منهم. واختلف المفسِّرون في تعيين هؤلاء المسلَّطين؛ إلاَّ أنَّهم اتَّفقوا على أنَّهم قومٌ كفارٌ: إمَّا من أهل العراق، أو الجزيرة، أو غيرها؛ سلَّطهم الله على بني إسرائيل لما كَثُرَتْ فيهم المعاصي وتركوا كثيراً من شريعتهم وطَغَوا في الأرض."
17,6,"{ثم رَدَدۡنا لكمُ الكَرَّةَ عليهم}؛ أي: على هؤلاء الذين سُلطوا عليكم فأجْلَيْتموهم من دياركم، {وأمدَدۡناكم بأموال وبنينَ}؛ أي: أكثرنا أرزاقكم وكثَّرناكم وقوَّيناكم عليهم، {وجعلناكُم أكثرَ نفيراً}: منهم، وذلك بسبب إحسانكم وخضوعكم لله."
17,7,"{إنۡ أحسنتُم أحسنتُم لأنفسِكم}: لأنَّ النفع عائدٌ إليكم حتى في الدُّنيا كما شاهدتم من انتصِاركم على أعدائكم. {وإنۡ أسأتُم فلها}؛ أي: فلأنفسكم يعود الضرر؛ كما أراكم الله من تسليط الأعداء. {فإذا جاء وعدُ الآخرة}؛ أي: المرَّة الأخرى التي تفسِدون فيها في الأرض؛ سلَّطْنا أيضاً عليكم الأعداء، {ليسوءوا وجوهكم}: بانتصارهم عليكم وسَبْيِكم، {ولِيَدۡخُلوا المسجد كما دَخَلوه أوَّل مرَّةٍ}: والمراد بالمسجد مسجد بيت المقدس، {ولِيُتَبِّروا}؛ أي: يخرِّبوا ويدمِّروا {ما عَلَوۡا}: عليه {تتبيراً}: فيخرِّبوا بيوتكم ومساجدكم وحروثكم."
17,8,"{عسى ربُّكم أن يرحَمَكم}: فيُديل لكم الكرة عليهم، فرحمهم وجعل لهم الدولة وتوعَّدهم على المعاصي، فقال:{وإنۡ عُدتم}: إلى الإفساد في الأرض، {عُدۡنا}: إلى عقوبتِكم، فعادوا لذلك، فسلَّط الله عليهم رسوله محمداً - صلى الله عليه وسلم -، فانتقم الله به منُهم؛ فهذا جزاء الدُّنيا، وما عند الله من النَّكال أعظمُ وأشنعُ، ولهذا قال:{وجَعَلۡنا جهنَّم للكافرين حصيراً}: يصلونها ويلازِمونها لا يخرجون منها أبداً. وفي هذه الآيات التحذير لهذه الأمَّة من العمل بالمعاصي؛ لئلاَّ يصيبهم ما أصاب بني إسرائيل؛ فسنَّة الله واحدةٌ لا تبدَّل ولا تغيَّر، ومن نظر إلى تسليط الكفرة على المسلمين والظَّلَمة؛ عَرَفَ أنَّ ذلك من أجل ذنوبهم عقوبةً لهم، وأنَّهم إذا أقاموا كتاب الله وسنَّة رسوله؛ مكَّن لهم في الأرض، ونصرهم على أعدائهم."
17,9,"{9 ـ 10} يخبر تعالى عن شرف القرآن وجلالته وأنَّه {يهدي للتي هي أقومُ}؛ أي: أعدلُ وأعلى من العقائد والأعمال والأخلاق؛ فمن اهتدى بما يدعو إليه القرآنُ؛ كان أكملَ الناس وأقومَهم وأهداهم في جميع الأمور. {ويبشِّرُ المؤمنين الذين يعملونَ الصَّالحاتِ}: من الواجبات والسُّنن، {أنَّ لهم أجراً كبيراً}: أعدَّه الله لهم في دار كرامته لا يعلم وصفَه إلاَّ هو. {وأنَّ الذين لا يؤمنون بالآخرةِ أعۡتَدۡنا لهم عذاباً أليماً}؛ فالقرآنُ مشتملٌ على البشارة والنِّذارة وذِكْرِ الأسباب التي تُنال بها البشارة، وهو الإيمان والعمل الصالح، والتي تستحقُّ بها النذارة، وهو ضدُّ ذلك."
17,10,17:9
17,11,"وهذا من جهل الإنسان وعجلته؛ حيث يدعو على نفسه وأولاده بالشرِّ عند الغضب، ويبادِرُ بذلك الدعاء كما يبادِرُ بالدُّعاء في الخير، ولكنَّ الله من لطفه يستجيبُ له في الخير ولا يستجيبُ له بالشر، ولو يُعَجِّلُ الله للناس الشرَّ استعجالهم بالخير لَقُضي إليهم أجلهم."
17,12,"يقول تعالى: {وجعلنا الليلَ والنهار آيتينِ}؛ أي: دالَّتين على كمال قدرة الله وسَعَة رحمته وأنَّه الذي لا تنبغي العبادة إلاَّ له. {فَمَحَوۡنا آية الليل}؛ أي: جعلناه مظلماً للسكون فيه والراحة. {وجعلنا آيةَ النهارِ مبصرةً}؛ أي: مضيئة، {لتبتغوا فَضۡلاً من ربِّكم}: في معايشكم وصنائعكم وتجاراتكم وأسفاركم، {ولتعلموا}: بتوالي الليل والنهار واختلاف القمر {عَدَدَ السنين والحسابَ}: فتبنون عليها ما تشاؤون من مصالحكم. {وكلَّ شيءٍ فصَّلۡناه تفصيلاً}؛ أي: بيَّنَّا الآيات، وصرَّفناه لتتميز الأشياء، ويتبيَّن الحقُّ من الباطل؛ كما قال تعالى:{ما فرَّطۡنا في الكتاب من شيءٍ}."
17,13,"{13 ـ 14} وهذا إخبارٌ عن كمال عدله: أنَّ كلَّ إنسان يُلْزِمُهُ طائِرَهُ في عنقِهِ؛ أي: ما عمل من خيرٍ وشرٍّ يجعله الله ملازماً له لا يتعدَّاه إلى غيره؛ فلا يحاسَبُ بعمل غيره ولا يحاسَبُ غيره بعمله. {ونخرِجُ له يوم القيامةِ كتاباً يلقاهُ منشوراً}: فيه عملُهُ من الخير والشرِّ حاضراً صغيرُهُ وكبيرُهُ، ويقال له:{اقرأ كتابَكَ كفى بنفسِكَ اليوم عليك حسيباً}: وهذا من أعظم العدل والإنصاف أن يقال للعبدِ: حاسِبْ نفسَكَ؛ ليعرف ما عليه من الحقِّ الموجب للعقاب."
17,14,17:13
17,15,"أي: هدايةُ كلِّ أحدٍ وضلاله لنفسه. لا يحمل أحدٌ ذنب أحدٍ، ولا يدفع عنه مثقالَ ذرَّة من الشرِّ، والله تعالى أعدل العادلين، لا يعذِّب أحداً حتى تقوم عليه الحجَّة بالرسالة ثم يعاند الحجَّة، وأما من انقاد للحجَّة أو لم تبلُغْه حجَّة الله تعالى؛ فإنَّ الله تعالى لا يعذِّب به. استدل بهذه الآية على أنَّ أهل الفترات وأطفال المشركين لا يعذِّبُهم الله حتى يبعثَ إليهم رسولاً؛ لأنَّه منزَّه عن الظُّلم."
17,16,"يخبر تعالى أنه إذا أراد أن يُهْلِكَ قريةً من القرى الظالمة ويستأصلها بالعذاب؛ أمر مُتْرَفيها أمراً قدريًّا، ففسقوا فيها، واشتدَّ طغيانُهم؛ {فحقَّ عليها القولُ}؛ أي: كلمة العذاب التي لا مردَّ لها؛ {فدمَّرۡناها تدميراً}"
